,ALNL,ALNR,AS10,AS11,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVFL,AVFR,AVG,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,DA07,DA08,DA09,DB07,DB08,DD06,DVA,DVB,DVC,LUAL,LUAR,PDA,PDB,PDEL,PDER,PHAL,PHAR.,PHBL,PHBR,PHCL,PHCR,PLML,PLMR,PLNL,PLNR,PQR,PVCL,PVCR,PVNL,PVNR,PVPL,PVPR,PVQL,PVQR,PVR.,PVT,PVWL,PVWR,PhshL,PhshR,Phso1L,Phso1R,Phso2L,Phso2R,RID,VA10,VA11,VA12,VB10,VB11,VC06,VD11,VD12,VD13,dBWML22,dBWMR22,hyp,int8L,intL,muintL,muintR,rectB,vBWML19,vBWML20,vBWML21,vBWML22,vBWMR20,vBWMR21,vBWMR22
DA09,,,,,,1,,,,,,,,,,,,,,2,,6,,,,,3,,,,,4,,,,,,,,,2,,,,,,,4,,,,,,,11,,,,,,,,,,1,,1,1,,1,,,,2,,,1,,,,,,,,,,,,
DB07,,,1,,,,4,2,,,,,,3,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,5,1,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
DB08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD06,,,,,,,,,,,,,1,,1,,,,,15,,2,,,,,,2,1,,,1,,,,,,,,,,,,,,,1,,,,1,6,,,,1,,,,,,,,,,,,4,,,,3,4,2,,,,,,,,,,,,,,,
DVA,,,,1,,,,,,,,,,,,,,2,,,,,3,1,,,,,1,,,1,,1,2,,,,,,,,,,,,,1,,,1,,,,8,4,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
DVB,,,,1,,,,,,,,,,,,,,,,8,,3,,,,2,,1,7,,,,,,,,,,,,,,,,,,,,,,3,4,,1,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
DVC,,,,,,,,,,,,,9,,2,,,,,10,,,,,,1,1,7,,,,,,,,,,,,,,,,,,,,,,1,13,12,,1,,5,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,
LUAL,,,,,2,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUAR,,,,,2,3,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDA,,,,,,,,,,,,,,,,,,,,4,,1,4,,,1,1,,,,,,4,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
PDB,,,,2,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,10,,,,,,,,,,1,,,,,,,,,2,,,9,,,,,,,,,,,,
PDEL,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDER,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHAL,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PHAR.,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,1,,,,4,,,,,1,,,,2,,,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PHBL,,,,,,1,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
PHBR,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PHCL,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
PHCR,,,,,3,1,,,,,,,1,,,,1,,,,,,2,,,,,,,,,,,,,,1,,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
PLMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PQR,,,,,,,,,,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PVCL,,,,,2,7,,,,,1,,,,,,,,,,1,11,,5,,1,,,,1,,,,2,,,,2,,,,2,,,,1,,17,1,,,,,,,,1,,,,,,,,,,,12,1,1,,,,1,,,3,,,,,,,,,,,,
PVCR,,,,,2,10,,,,1,,,,,,1,,,,,3,,4,1,,,1,,,,,,,,2,,,,,,2,,2,,,,17,,,,,,,,13,3,6,6,,,,,,,,,3,5,1,3,,,,,,,1,,,,,,,,,,,,
PVNL,,,,,1,,,3,,1,,,,1,,2,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,1,,,3,1,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
PVNR,,,,,,,1,2,1,1,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,2,,,3,,,2,,,2,3,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
PVPL,,,,3,,,,,,,1,,2,,1,,,,7,1,,,,,,1,1,3,13,,,,1,,,,7,,1,,,,,,,5,,,1,,,1,6,,,9,,,,,,,,,,,,1,,,,,,5,,,11,,,,,,2,,,,,,
PVPR,,,,,,,,,,,,,,2,1,1,,,,4,,,,,,6,,4,12,,,,,,,4,,,,,,,,,,8,,,,2,1,,,,,3,1,,,,,,,,,,,,,,,,18,,,,3,,,,,,,,,,,,
PVQL,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,6,,,16,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
PVQR,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,16,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVR.,,12,,,,,,,,,,,,,,,,,,,,,11,3,,,8,,,1,4,,10,3,3,,1,,,,,,1,,,,,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVT,,,,,,2,,,1,,,,,,,1,,,,2,,,,,,1,4,1,5,,2,,,,,,,,1,,,,,,,,,3,2,3,9,3,,1,,,,2,,,,,,,,,,,,,2,2,2,12,,,1,,,,,,,,,,,,
PVWL,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,6,,,,1,,,,,,2,,,,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,
PVWR,,,,,,1,,,,1,,,,,,2,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,6,,1,,,,1,,2,2,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,
PhshL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,
PhshR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,6,,,,,,,,,,,,
Phso1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,
Phso1R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,5,,,,,,,,,,,,
Phso2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Phso2R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,
RID,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
VA10,,,,,2,,,,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA11,,,,,2,10,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,
VA12,,,1,,,2,,,,,,,,,,,,,,,,4,1,,,4,,,,,,,,,,,,,,1,,,,,,,12,5,,,1,,,,,,,,,,,,,,,,,,,5,,,3,5,,,,,,,,,,,,,,,
VB10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,3,,,,,1,2,,,,,,,,,,,,,,,,
VB11,,,,1,2,,3,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,1,,,,,,,,,,,,
VC06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD11,,,,,,1,,,,,,,,,,,,,,1,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
VD12,,,,,,,,,,,1,,,4,5,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,2,,,,,,,,,,,,3,2,1,,,,1,,,5,,,,,,,,,,,,
VD13,,,,,,,,,,,,,,,,,,,,3,,,2,,,2,,4,1,,,,2,,,,,,,,,,,,,,1,,,1,5,,,,,12,1,2,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,
dBWML22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dBWMR22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyp,2,,2,20,1,2,,1,1,,4,1,2,14,6,2,3,,12,,,1,1,1,,,4,,1,,,2,9,,,1,1,2,1,1,,3,,,1,1,3,1,2,,11,3,2,,,1,6,1,4,6,2,5,5,3,2,,1,,,1,,,5,,,,1,,,,,,,,,,,,
int8L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muintL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muintR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rectB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vBWML19,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vBWML20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vBWML21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vBWML22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vBWMR20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vBWMR21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vBWMR22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
